Position,Const,Created,Modified,Description,Name,Known For,Birth Date
350,nm0000104,2024-01-08,2024-07-01,"10703 points","Antonio Banderas","The Mask of Zorro","10 августа 1960 г."
351,nm0000459,2024-01-08,2024-01-08,"10682 points","Timothy Hutton","Ordinary People","16 августа 1960 г."
352,nm4422686,2024-01-08,2024-03-11,"10547 points","Barry Keoghan","The Killing of a Sacred Deer","18 октября 1992 г."
353,nm0005351,2024-01-08,2024-01-08,"10545 points","Ryan Reynolds","Deadpool 2","23 октября 1976 г."
354,nm0000662,2024-01-08,2024-01-08,"10497 points","Kiefer Sutherland","24","21 декабря 1966 г."
355,nm0002139,2024-01-08,2024-05-28,"10388 points","Judd Hirsch","The Fabelmans","15 марта 1935 г."
356,nm1082477,2024-01-08,2024-01-08,"10299 points","Omar Sy","Intouchables","20 января 1978 г."
357,nm0000634,2024-01-08,2024-01-08,"10289 points","Peter Sellers","Being There","8 сентября 1925 г."
358,nm0000034,2024-01-08,2024-01-08,"10278 points","William Holden","Stalag 17","17 апреля 1918 г."
359,nm3147751,2024-01-08,2024-01-08,"10266 points","LaKeith Stanfield","Sorry to Bother You","12 августа 1991 г."
360,nm0000559,2024-01-08,2024-01-08,"10163 points","Leonard Nimoy","Star Trek IV: The Voyage Home","26 марта 1931 г."
361,nm0001976,2024-01-08,2024-01-08,"10059 points","Horst Buchholz","La vita è bella","4 декабря 1933 г."
362,nm0001326,2024-01-08,2024-01-08,"10041 points","Josh Hartnett","Lucky Number Slevin","21 июля 1978 г."
363,nm0000095,2024-01-08,2024-01-08,"9930 points","Woody Allen","Annie Hall","30 ноября 1935 г."
364,nm0406975,2024-01-08,2024-01-08,"9853 points","Rhys Ifans","The Amazing Spider-Man","22 июля 1967 г."
365,nm0000080,2024-01-08,2024-01-08,"9818 points","Orson Welles","Citizen Kane","6 мая 1915 г."
366,nm0000564,2024-01-08,2024-01-08,"9796 points","Peter O'Toole","Lawrence of Arabia","2 августа 1932 г."
367,nm0000578,2024-01-08,2024-01-08,"9728 points","Anthony Perkins","Psycho","4 апреля 1932 г."
368,nm0793766,2024-01-08,2024-01-08,"9705 points","Takashi Shimura","Shichinin no samurai","12 марта 1905 г."
369,nm0000314,2024-01-08,2024-01-08,"9641 points","Charles Bronson","Death Wish","3 ноября 1921 г."
370,nm0001852,2024-01-08,2024-01-08,"9624 points","Treat Williams","Deep Rising","1 декабря 1951 г."
371,nm0000493,2024-01-08,2024-01-08,"9591 points","Jack Lemmon","The Apartment","8 февраля 1925 г."
372,nm0005493,2024-01-08,2024-06-16,"9580 points","Justin Timberlake","Trolls","31 января 1981 г."
373,nm0005110,2024-01-08,2024-01-08,"9497 points","Ashton Kutcher","That '70s Show","7 февраля 1978 г."
